* FASER$\nu$2 charm $\nu_{\mu}+\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 charm $\nu_{\mu}+\bar{\nu}_{\mu}$'
   IndexDataset = 142
   Reaction = 'CC nup'

   NData = 30
   NColumn = 8
   ColumnType = 'Flag',2*'Bin','Sigma',4*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor const','uncor const','uncor const'
   TheoryType = 'expression'
   TermType   = 'reaction','reaction'
   TermName   = 'P','A'
   TermSource = 'PineAPPL','PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-FASERv2_charm_nochargediscrimination-a1/nu_A_1-FASERv2_charm-XSFPFCC_charm.pineappl.lz4',
                'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-FASERv2_charm_nochargediscrimination-a1/nub_A_1-FASERv2_charm-XSFPFCC_charm.pineappl.lz4'
   TheorExpr  = 'P+A'

   Percent = 4*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2 charm #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2 charm #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2 charm #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2 charm #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag                  x                      Q2                   Sigma                    stat             uncor const             uncor const             uncor const
  1             0.007425671                6.474771       0.244975905565332        9.48164570162758                 5.69628                 1.44396                 8.55166
  1              0.01013808                6.608872       0.210466708546161        7.64890760815829                 15.7437                 6.91113                 13.2614
  1              0.01024972                18.65225       0.266059390443641         6.6031864380175                 8.77213                 2.45852                 3.79582
  1              0.01374845                6.704846       0.170597256984382        7.18393189282699                 14.3468                 6.87056                 12.0646
  1              0.01389298                21.51876       0.163648172291086        5.23120876354253                 6.56285                  2.4646                 8.75957
  1              0.01912461                6.784879      0.0980489843299286        7.56185341820619                 1.86278                 5.17984                 4.46159
  1              0.01930938                25.26181       0.131854468594412        4.64955373260102                 7.07193                 8.73396                 2.96404
  1              0.02595051                7.309055       0.079082267536277        7.14942021118359                 10.6532                 3.83219                 17.8956
  1              0.02641567                29.40498        0.10777048691933        3.46291710321808                 5.33437                 2.51427                 7.68639
  1              0.03498954                8.244803      0.0721968130967815        8.86241574366281                 11.6939                 6.57184                 24.7545
  1              0.03586796                33.55916      0.0643984835393352        2.94287025730295                 7.94761                 6.38905                 13.5508
  1              0.04931142                37.69239      0.0457708447797484         3.1610910206435                 8.57964                 10.8886                 4.52009
  1              0.05036689                138.8597       0.036613349926367        7.68230599077906                 8.84753                 8.87937                 13.0073
  1              0.06801841                43.13022      0.0304726041279613        2.71239462815086                 1.79551                 1.93003                 10.4285
  1              0.06919158                152.9983      0.0248204688286585        4.83617797330658                 1.29437                 2.22418                 3.69922
  1              0.09243267                49.00177      0.0155788119708099        2.59476886553946                  6.1807                 8.97409                 17.2683
  1              0.09386659                170.5893      0.0145233702333167        3.48908281048316                 4.84414                 8.33165                 9.24986
  1               0.1242078                55.01665     0.00915800395720086        3.31027783302405                 5.29027                 7.86416                 5.66296
  1               0.1261498                192.2236      0.0079868876843713        3.50408995431486                 5.96877                 8.50018                 3.66916
  1               0.1752803                62.65406     0.00452654241130536        3.54347680325578                0.721384                0.655752                 10.9268
  1               0.1778476                223.9339     0.00361035501415498        2.86001228586643                0.248524                 1.32275                 4.60552
  1               0.2380261                70.41271     0.00151722299326492        3.82031486253443                  4.2012                 12.3378                 21.9314
  1               0.2417597                257.9181     0.00174109599970281        2.35149338531083                 2.80731                 11.0649                 15.6599
  1                0.310547                78.25085    0.000781420808665114        6.05579227740353                0.869281                  1.9712                 12.4639
  1                0.314375                286.7141    0.000636509592534252        2.82512506744224                 2.92491                 3.34438                 10.2694
  1               0.4592734                  316.33    0.000136879696108855        3.48509403398198                  3.4676                 10.0771                 4.38074
  1               0.6234231                364.8688    2.44577954821686e-05        3.23696590496879                 1.65028                 13.9832                 19.8931
  1               0.6361454                1427.045    1.27033495368293e-05        7.55511477309375                0.927316                 11.2795                 2.57822
  1               0.8211189                424.7325    3.33936012711055e-06        4.26407960676631                 1.14618                 11.9549                  20.902
  1                0.831608                1538.568    1.62728988914723e-06        7.79354571456512               0.0856058                 6.17363                  29.767
