* FASER$\nu$2 charm $\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 charm $\bar{\nu}_{\mu}$'
   IndexDataset = 140
   Reaction = 'CC nup'

   NData = 26
   NColumn = 8
   ColumnType = 'Flag',2*'Bin','Sigma',4*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor const','uncor const','uncor const'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-FASERv2_charm_nub-a1/nub_A_1-FASERv2_charm-XSFPFCC_charm.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 4*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2 charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2 charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2 charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2 charm #bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag                  x                      Q2                   Sigma                    stat             uncor const             uncor const             uncor const
  1             0.007384477                6.583809        0.26071698256427          9.466264018388                 1.44066                0.748314                  8.2676
  1             0.007448337                18.18424       0.322384187508282        9.86179108483933                0.210532                 3.86608                0.606591
  1              0.01009093                6.690378       0.187681231243818        8.24914718269174                 1.15542                 2.23712                   6.898
  1              0.01019669                20.73814       0.233631612307044        7.21891335694732               0.0957718                 1.61181                 1.80362
  1              0.01383823                6.770906       0.108976709925792         7.4964904728561                 1.25041                 5.38201                 5.94497
  1              0.01396199                24.26331       0.146731703458948        5.56836683659374                0.080559                0.312941                 2.75202
  1              0.01894794                6.871934       0.067180336499044        7.09220214888695                0.901235                 8.46914                 7.26906
  1              0.01912659                 27.9014      0.0987716571347171         4.4693383883378                0.090451                 2.60191                 3.65263
  1              0.02581723                7.362855      0.0613292159347214        7.57972055291914                0.391782                 9.64447                 12.9994
  1              0.02625389                31.59091      0.0684217069004667        3.75185280591884               0.0670411                 5.87941                 4.81574
  1              0.03523171                8.296967      0.0213753650355203        9.64978214978448                0.203753                 7.98685                 19.5654
  1              0.03603931                35.26657      0.0435263043844206        3.32034003581251                 0.06227                 7.54126                  4.6619
  1              0.04933452                38.61565      0.0204587330537717        3.08905503020125               0.0507832                 9.28937                 5.52745
  1               0.0500664                 151.468      0.0222791655343136        7.80698658816431                0.126912                 7.69334                 2.06693
  1              0.06729034                43.57782      0.0125914197440829        3.09454901690397               0.0346724                 10.6959                 6.27911
  1              0.06833304                168.4193      0.0115067200853156        5.86125595274494               0.0657942                 7.33596                0.596783
  1              0.09206443                49.45351     0.00765201886174289        3.29168713166391               0.0591207                 12.8242                 6.69817
  1              0.09324682                189.6843     0.00631955111494321        4.79398232203678               0.0657771                  9.6683                  2.8725
  1               0.1262252                55.44017     0.00321847634738464        3.69058006210349               0.0367886                 15.9303                 7.50273
  1               0.1277418                214.8837     0.00282988033365283        4.21949162485519                0.027748                 12.2129                  5.1987
  1               0.1732662                61.97094     0.00146750478745936        4.50558420604315                0.055185                 16.5775                 7.13679
  1               0.1752363                242.4296      0.0012556664688284        4.06424580774887               0.0700493                 12.2103                 6.78551
  1               0.2364352                 69.4095    0.000669712322326105        6.37625247751182                0.115758                 9.70371                  3.0577
  1                0.239602                272.6704    0.000434400147681369        4.55707989761051               0.0376318                 3.73764                 4.91653
  1                0.324684                294.8834    0.000169376016077015        5.94092533925153                0.106293                  16.467                 0.30906
  0               0.4329117                311.9929    3.14334246137616e-05        9.27588031577362                0.144649                 66.6505                 11.2494
