# x y Q2 xsec_nu xsec_nub
1.013760e-02 4.401015e-01 6.444043e+00 1.147312e+00 1.019348e+00
1.391868e-02 3.950313e-01 6.533897e+00 8.280403e-01 7.252283e-01
1.398932e-02 5.982939e-01 2.251596e+01 8.901440e-01 7.406804e-01
1.908164e-02 3.446163e-01 6.623139e+00 6.028684e-01 5.217958e-01
1.920680e-02 5.587831e-01 2.459521e+01 6.460789e-01 5.207966e-01
2.619502e-02 2.890427e-01 6.674892e+00 4.392597e-01 3.773805e-01
2.638642e-02 5.360452e-01 2.699479e+01 4.528763e-01 3.472284e-01
3.603457e-02 2.502657e-01 6.746833e+00 3.146220e-01 2.666231e-01
3.621743e-02 5.066885e-01 3.012838e+01 3.179405e-01 2.306405e-01
4.940930e-02 2.104495e-01 6.764684e+00 2.254839e-01 1.893302e-01
4.967729e-02 4.752017e-01 3.328270e+01 2.224542e-01 1.518789e-01
5.030870e-02 6.901209e-01 1.657545e+02 2.042810e-01 1.169166e-01
6.774213e-02 1.726299e-01 6.793429e+00 1.609594e-01 1.344480e-01
6.806190e-02 4.376049e-01 3.609265e+01 1.555239e-01 1.002077e-01
6.894057e-02 6.663804e-01 1.760518e+02 1.398880e-01 7.022319e-02
9.290105e-02 1.371913e-01 6.867057e+00 1.144645e-01 9.568094e-02
9.324320e-02 3.967318e-01 3.876528e+01 1.081650e-01 6.623934e-02
9.426435e-02 6.461725e-01 1.904338e+02 9.547450e-02 4.114047e-02
1.264084e-01 1.166904e-01 7.284268e+00 8.114998e-02 6.752889e-02
1.280720e-01 3.544081e-01 4.096783e+01 7.420317e-02 4.379863e-02
1.292125e-01 6.188742e-01 2.063887e+02 6.426985e-02 2.371074e-02
1.724415e-01 1.005168e-01 8.202435e+00 5.566906e-02 4.640536e-02
1.757058e-01 3.107319e-01 4.305368e+01 4.938744e-02 2.876305e-02
1.774239e-01 5.858078e-01 2.250014e+02 4.161603e-02 1.333678e-02
2.408440e-01 2.677173e-01 4.474010e+01 3.056038e-02 1.804404e-02
2.425962e-01 5.581462e-01 2.478804e+02 2.491493e-02 7.032437e-03
3.280292e-01 2.314739e-01 4.767049e+01 1.659327e-02 1.018224e-02
3.309931e-01 5.202390e-01 2.720865e+02 1.283489e-02 3.547077e-03
4.431453e-01 1.971073e-01 5.110109e+01 7.210071e-03 4.742340e-03
4.459583e-01 4.812076e-01 2.982795e+02 5.179529e-03 1.588766e-03
4.504846e-01 6.965435e-01 1.523650e+03 2.981639e-03 4.080027e-04
5.972675e-01 1.638829e-01 5.518586e+01 1.902995e-03 1.328020e-03
5.998893e-01 4.339583e-01 3.172587e+02 1.209696e-03 4.404304e-04
