# x y Q2 xsec_nu xsec_nub
7.892411e-04 8.083918e-01 4.794951e+00 1.563807e+01 1.498574e+01
1.123250e-03 7.649160e-01 5.130893e+00 1.083785e+01 1.029632e+01
1.551578e-03 7.806907e-01 5.515805e+00 7.472687e+00 7.002456e+00
1.656074e-03 7.964030e-01 1.180635e+01 8.729540e+00 8.231076e+00
2.108116e-03 7.094778e-01 5.574564e+00 5.472026e+00 5.083494e+00
2.169372e-03 8.188465e-01 1.202886e+01 6.218206e+00 5.778133e+00
2.876339e-03 6.715128e-01 5.892648e+00 3.962125e+00 3.636185e+00
2.965766e-03 8.091115e-01 1.318310e+01 4.383470e+00 4.006567e+00
3.945321e-03 6.145672e-01 6.066627e+00 2.873511e+00 2.607715e+00
3.974384e-03 7.470165e-01 1.421607e+01 3.268398e+00 2.951601e+00
5.410207e-03 5.568055e-01 6.193659e+00 2.082959e+00 1.869014e+00
5.476451e-03 7.101076e-01 1.529591e+01 2.310290e+00 2.046175e+00
7.410950e-03 5.043107e-01 6.341499e+00 1.510771e+00 1.339565e+00
7.488574e-03 6.695889e-01 1.681156e+01 1.658328e+00 1.438468e+00
1.011780e-02 4.419983e-01 6.435353e+00 1.107562e+00 9.745190e-01
1.021908e-02 6.421022e-01 1.857756e+01 1.182075e+00 9.979391e-01
1.389385e-02 3.806847e-01 6.493901e+00 8.053585e-01 7.041693e-01
1.399545e-02 5.964767e-01 2.083257e+01 8.499630e-01 6.989492e-01
1.495098e-02 8.842830e-01 1.120717e+02 8.078722e-01 6.218922e-01
1.904192e-02 3.229021e-01 6.579994e+00 5.874646e-01 5.115140e-01
1.918275e-02 5.489307e-01 2.330938e+01 6.097327e-01 4.868922e-01
1.974946e-02 8.298774e-01 1.194137e+02 5.860547e-01 4.284096e-01
2.617075e-02 2.628275e-01 6.632142e+00 4.276362e-01 3.727705e-01
2.631924e-02 5.061533e-01 2.605107e+01 4.426997e-01 3.429613e-01
2.684832e-02 7.889882e-01 1.273770e+02 4.096943e-01 2.785862e-01
3.598917e-02 2.162429e-01 6.681281e+00 3.072308e-01 2.673407e-01
3.613733e-02 4.517247e-01 2.881119e+01 3.146925e-01 2.363760e-01
3.679353e-02 7.305559e-01 1.356415e+02 2.857905e-01 1.794392e-01
4.934577e-02 1.703565e-01 6.682376e+00 2.210060e-01 1.930431e-01
4.954587e-02 3.941453e-01 3.114070e+01 2.232156e-01 1.635389e-01
5.023585e-02 6.753975e-01 1.463986e+02 1.999689e-01 1.150090e-01
6.759450e-02 1.346195e-01 6.698465e+00 1.583297e-01 1.385865e-01
6.782787e-02 3.347789e-01 3.329736e+01 1.579012e-01 1.140946e-01
6.860961e-02 6.088043e-01 1.580518e+02 1.402091e-01 7.464276e-02
9.277830e-02 1.029060e-01 6.727746e+00 1.123707e-01 9.906879e-02
9.297870e-02 2.789360e-01 3.529373e+01 1.103534e-01 7.943311e-02
9.382301e-02 5.445354e-01 1.715760e+02 9.721325e-02 4.838754e-02
1.273586e-01 7.832626e-02 6.735480e+00 7.862208e-02 7.001226e-02
1.276297e-01 2.258607e-01 3.669821e+01 7.567038e-02 5.517594e-02
1.285275e-01 4.776201e-01 1.859814e+02 6.597736e-02 3.167205e-02
1.290706e-01 9.000049e-01 1.077757e+03 4.651505e-02 1.120394e-02
1.751726e-01 5.879778e-02 6.754696e+00 5.307109e-02 4.804020e-02
1.754110e-01 1.794713e-01 3.797278e+01 4.984777e-02 3.727507e-02
1.765446e-01 4.065862e-01 2.008565e+02 4.272749e-02 2.073142e-02
1.835605e-01 7.698725e-01 1.162984e+03 2.773568e-02 5.583507e-03
2.403140e-01 4.451220e-02 6.768479e+00 3.377024e-02 3.128625e-02
2.404564e-01 1.406324e-01 3.901678e+01 3.060337e-02 2.372171e-02
2.418332e-01 3.448850e-01 2.178058e+02 2.545285e-02 1.284447e-02
2.485668e-01 6.800410e-01 1.194912e+03 1.635182e-02 3.125812e-03
3.286896e-01 3.286119e-02 6.741861e+00 1.950035e-02 1.852211e-02
3.284985e-01 1.089515e-01 3.970917e+01 1.659378e-02 1.343099e-02
3.299154e-01 2.861170e-01 2.324517e+02 1.318798e-02 7.192638e-03
3.356752e-01 5.724440e-01 1.238362e+03 8.280899e-03 1.883533e-03
4.462496e-01 2.468196e-02 6.723654e+00 9.439115e-03 9.128459e-03
4.445584e-01 8.383118e-02 3.998445e+01 7.282099e-03 6.115523e-03
4.450062e-01 2.372112e-01 2.491269e+02 5.391777e-03 3.197193e-03
4.511830e-01 4.994172e-01 1.304733e+03 3.174909e-03 8.547815e-04
5.899426e-01 1.949850e-02 7.074305e+00 3.320419e-03 3.282356e-03
6.014613e-01 6.293880e-02 3.901442e+01 1.969663e-03 1.696463e-03
6.006336e-01 1.918450e-01 2.596690e+02 1.290492e-03 8.363957e-04
6.076491e-01 4.186769e-01 1.392919e+03 6.762875e-04 2.312591e-04
7.386467e-01 1.895707e-02 9.421680e+00 7.858324e-04 7.834140e-04
7.788468e-01 4.915316e-02 3.936261e+01 2.635369e-04 2.291347e-04
7.840953e-01 1.527588e-01 2.570999e+02 1.283332e-04 8.719620e-05
7.808681e-01 3.670811e-01 1.402811e+03 6.797813e-05 2.544961e-05
